Designator,Footprint,Quantity,Value,LCSC Part #
"DA0, DA1, DA2, DA3, DA4, DA5, DA6, DA7, DB0, DB1, DB2, DB3, DB4, DB5, DB6, DB7, DC0, DC1, DC2, DC3, DC4, DC5, DC6, DC7, DR0, DR1, DR2, DR3, DR4, DR5, DR6, DR7, DS0, DS1, DS2, DS3, DS4, DS5, DS6, DS7",0402,40,~,C22355736
"RA0, RA1, RA2, RA3, RA4, RA5, RA6, RA7, RB0, RB1, RB2, RB3, RB4, RB5, RB6, RB7, RC0, RC1, RC2, RC3, RC4, RC5, RC6, RC7, RR0, RR1, RR2, RR3, RR4, RR5, RR6, RR7, RS0, RS1, RS2, RS3, RS4, RS5, RS6, RS7",0402,40,330,C12246
"U01, U02, U03, U04, U11, U12, U13, U14, U21, U22, U23, U24, U31, U32, U33, U34, U41, U42, U43, U44, U51, U52, U53, U54, U61, U62, U63, U64, U71, U72, U73, U74, UE1, UE2, UE3, UE4, US1",TSSOP-14_4.4x5mm_P0.65mm,37,~,C5587
