Designator,Mid X,Mid Y,Rotation,Layer
GENBLK2[0].GENBLK1[1].L.NOT2.N1,19.0,-79.0,180.0,top
GENBLK2[0].GENBLK1[1].L.NOT2.P1,19.0,-81.0,0.0,top
GENBLK2[0].GENBLK1[1].L.NOT3.N1,17.0,-79.0,180.0,top
GENBLK2[0].GENBLK1[1].L.NOT3.N2,15.0,-79.0,180.0,top
GENBLK2[0].GENBLK1[1].L.NOT3.P1,17.0,-81.0,0.0,top
GENBLK2[0].GENBLK1[1].L.NOT3.P2,15.0,-81.0,0.0,top
GENBLK2[0].GENBLK1[1].R1.N1,23.0,-79.0,180.0,top
GENBLK2[0].GENBLK1[1].R1.N2,25.0,-79.0,180.0,top
GENBLK2[0].GENBLK1[1].R1.P1,23.0,-81.0,0.0,top
GENBLK2[0].GENBLK1[1].R1.P2,25.0,-81.0,0.0,top
GENBLK2[0].GENBLK1[1].R2.N1,27.0,-79.0,180.0,top
GENBLK2[0].GENBLK1[1].R2.N2,29.0,-79.0,180.0,top
GENBLK2[0].GENBLK1[1].R2.P1,27.0,-81.0,0.0,top
GENBLK2[0].GENBLK1[1].R2.P2,29.0,-81.0,0.0,top
GENBLK2[0].GENBLK1[2].D.DECAP.C,21.55,-84.0,90.0,top
GENBLK2[0].GENBLK1[2].D.L,20.65,-83.0,90.0,top
GENBLK2[0].GENBLK1[2].D.R,20.65,-85.0,270.0,top
GENBLK2[0].GENBLK1[2].L.NOT1.N1,11.0,-85.0,0.0,top
GENBLK2[0].GENBLK1[2].L.NOT1.N2,13.0,-85.0,0.0,top
GENBLK2[0].GENBLK1[2].L.NOT1.P1,11.0,-83.0,180.0,top
GENBLK2[0].GENBLK1[2].L.NOT1.P2,13.0,-83.0,180.0,top
GENBLK2[0].GENBLK1[2].L.NOT2.N1,19.0,-85.0,0.0,top
GENBLK2[0].GENBLK1[2].L.NOT2.P1,19.0,-83.0,180.0,top
GENBLK2[0].GENBLK1[2].L.NOT3.N1,17.0,-85.0,0.0,top
GENBLK2[0].GENBLK1[2].L.NOT3.N2,15.0,-85.0,0.0,top
GENBLK2[0].GENBLK1[2].L.NOT3.P1,17.0,-83.0,180.0,top
GENBLK2[0].GENBLK1[2].L.NOT3.P2,15.0,-83.0,180.0,top
GENBLK2[0].GENBLK1[2].R1.N1,23.0,-85.0,0.0,top
GENBLK2[0].GENBLK1[2].R1.N2,25.0,-85.0,0.0,top
GENBLK2[0].GENBLK1[2].R1.P1,23.0,-83.0,180.0,top
GENBLK2[0].GENBLK1[2].R1.P2,25.0,-83.0,180.0,top
GENBLK2[0].GENBLK1[2].R2.N1,27.0,-85.0,0.0,top
GENBLK2[0].GENBLK1[2].R2.N2,29.0,-85.0,0.0,top
GENBLK2[0].GENBLK1[2].R2.P1,27.0,-83.0,180.0,top
GENBLK2[0].GENBLK1[2].R2.P2,29.0,-83.0,180.0,top
GENBLK2[0].GENBLK1[3].D.DECAP.C,21.55,-88.0,90.0,top
GENBLK2[0].GENBLK1[3].D.L,20.65,-87.0,90.0,top
GENBLK2[0].GENBLK1[3].D.R,20.65,-89.0,270.0,top
GENBLK2[0].GENBLK1[3].L.NOT1.N1,11.0,-87.0,180.0,top
GENBLK2[0].GENBLK1[3].L.NOT1.N2,13.0,-87.0,180.0,top
GENBLK2[0].GENBLK1[3].L.NOT1.P1,11.0,-89.0,0.0,top
GENBLK2[0].GENBLK1[3].L.NOT1.P2,13.0,-89.0,0.0,top
GENBLK2[0].GENBLK1[3].L.NOT2.N1,19.0,-87.0,180.0,top
GENBLK2[0].GENBLK1[3].L.NOT2.P1,19.0,-89.0,0.0,top
GENBLK2[0].GENBLK1[3].L.NOT3.N1,17.0,-87.0,180.0,top
GENBLK2[0].GENBLK1[3].L.NOT3.N2,15.0,-87.0,180.0,top
GENBLK2[0].GENBLK1[3].L.NOT3.P1,17.0,-89.0,0.0,top
GENBLK2[0].GENBLK1[3].L.NOT3.P2,15.0,-89.0,0.0,top
GENBLK2[0].GENBLK1[3].R1.N1,23.0,-87.0,180.0,top
GENBLK2[0].GENBLK1[3].R1.N2,25.0,-87.0,180.0,top
GENBLK2[0].GENBLK1[3].R1.P1,23.0,-89.0,0.0,top
GENBLK2[0].GENBLK1[3].R1.P2,25.0,-89.0,0.0,top
GENBLK2[0].GENBLK1[3].R2.N1,27.0,-87.0,180.0,top
GENBLK2[0].GENBLK1[3].R2.N2,29.0,-87.0,180.0,top
GENBLK2[0].GENBLK1[3].R2.P1,27.0,-89.0,0.0,top
GENBLK2[0].GENBLK1[3].R2.P2,29.0,-89.0,0.0,top
GENBLK2[1].GENBLK1[0].D.DECAP.C,41.55,-76.0,90.0,top
GENBLK2[1].GENBLK1[0].D.L,40.65,-75.0,90.0,top
GENBLK2[1].GENBLK1[0].D.R,40.65,-77.0,270.0,top
GENBLK2[1].GENBLK1[0].L.NOT1.N1,31.0,-77.0,0.0,top
GENBLK2[1].GENBLK1[0].L.NOT1.N2,33.0,-77.0,0.0,top
GENBLK2[1].GENBLK1[0].L.NOT1.P1,31.0,-75.0,180.0,top
GENBLK2[1].GENBLK1[0].L.NOT1.P2,33.0,-75.0,180.0,top
GENBLK2[1].GENBLK1[0].L.NOT2.N1,39.0,-77.0,0.0,top
GENBLK2[1].GENBLK1[0].L.NOT2.P1,39.0,-75.0,180.0,top
GENBLK2[1].GENBLK1[0].L.NOT3.N1,37.0,-77.0,0.0,top
GENBLK2[1].GENBLK1[0].L.NOT3.N2,35.0,-77.0,0.0,top
GENBLK2[1].GENBLK1[0].L.NOT3.P1,37.0,-75.0,180.0,top
GENBLK2[1].GENBLK1[0].L.NOT3.P2,35.0,-75.0,180.0,top
GENBLK2[1].GENBLK1[0].R1.N1,43.0,-77.0,0.0,top
GENBLK2[1].GENBLK1[0].R1.N2,45.0,-77.0,0.0,top
GENBLK2[1].GENBLK1[0].R1.P1,43.0,-75.0,180.0,top
GENBLK2[1].GENBLK1[0].R1.P2,45.0,-75.0,180.0,top
GENBLK2[1].GENBLK1[0].R2.N1,47.0,-77.0,0.0,top
GENBLK2[1].GENBLK1[0].R2.N2,49.0,-77.0,0.0,top
GENBLK2[1].GENBLK1[0].R2.P1,47.0,-75.0,180.0,top
GENBLK2[1].GENBLK1[0].R2.P2,49.0,-75.0,180.0,top
GENBLK2[1].GENBLK1[1].D.DECAP.C,41.55,-80.0,90.0,top
GENBLK2[1].GENBLK1[1].D.L,40.65,-79.0,90.0,top
GENBLK2[1].GENBLK1[1].D.R,40.65,-81.0,270.0,top
GENBLK2[1].GENBLK1[1].L.NOT1.N1,31.0,-79.0,180.0,top
GENBLK2[1].GENBLK1[1].L.NOT1.N2,33.0,-79.0,180.0,top
GENBLK2[1].GENBLK1[1].L.NOT1.P1,31.0,-81.0,0.0,top
GENBLK2[1].GENBLK1[1].L.NOT1.P2,33.0,-81.0,0.0,top
GENBLK2[1].GENBLK1[1].L.NOT2.N1,39.0,-79.0,180.0,top
GENBLK2[1].GENBLK1[1].L.NOT2.P1,39.0,-81.0,0.0,top
GENBLK2[1].GENBLK1[1].L.NOT3.N1,37.0,-79.0,180.0,top
GENBLK2[1].GENBLK1[1].L.NOT3.N2,35.0,-79.0,180.0,top
GENBLK2[1].GENBLK1[1].L.NOT3.P1,37.0,-81.0,0.0,top
GENBLK2[1].GENBLK1[1].L.NOT3.P2,35.0,-81.0,0.0,top
GENBLK2[1].GENBLK1[1].R1.N1,43.0,-79.0,180.0,top
GENBLK2[1].GENBLK1[1].R1.N2,45.0,-79.0,180.0,top
GENBLK2[1].GENBLK1[1].R1.P1,43.0,-81.0,0.0,top
GENBLK2[1].GENBLK1[1].R1.P2,45.0,-81.0,0.0,top
GENBLK2[1].GENBLK1[1].R2.N1,47.0,-79.0,180.0,top
GENBLK2[1].GENBLK1[1].R2.N2,49.0,-79.0,180.0,top
GENBLK2[1].GENBLK1[1].R2.P1,47.0,-81.0,0.0,top
GENBLK2[1].GENBLK1[1].R2.P2,49.0,-81.0,0.0,top
GENBLK2[1].GENBLK1[2].D.DECAP.C,41.55,-84.0,90.0,top
GENBLK2[1].GENBLK1[2].D.L,40.65,-83.0,90.0,top
GENBLK2[1].GENBLK1[2].D.R,40.65,-85.0,270.0,top
GENBLK2[1].GENBLK1[2].L.NOT1.N1,31.0,-85.0,0.0,top
GENBLK2[1].GENBLK1[2].L.NOT1.N2,33.0,-85.0,0.0,top
GENBLK2[1].GENBLK1[2].L.NOT1.P1,31.0,-83.0,180.0,top
GENBLK2[1].GENBLK1[2].L.NOT1.P2,33.0,-83.0,180.0,top
GENBLK2[1].GENBLK1[2].L.NOT2.N1,39.0,-85.0,0.0,top
GENBLK2[1].GENBLK1[2].L.NOT2.P1,39.0,-83.0,180.0,top
GENBLK2[1].GENBLK1[2].L.NOT3.N1,37.0,-85.0,0.0,top
GENBLK2[1].GENBLK1[2].L.NOT3.N2,35.0,-85.0,0.0,top
GENBLK2[1].GENBLK1[2].L.NOT3.P1,37.0,-83.0,180.0,top
GENBLK2[1].GENBLK1[2].L.NOT3.P2,35.0,-83.0,180.0,top
GENBLK2[1].GENBLK1[2].R1.N1,43.0,-85.0,0.0,top
GENBLK2[1].GENBLK1[2].R1.N2,45.0,-85.0,0.0,top
GENBLK2[1].GENBLK1[2].R1.P1,43.0,-83.0,180.0,top
GENBLK2[1].GENBLK1[2].R1.P2,45.0,-83.0,180.0,top
GENBLK2[1].GENBLK1[2].R2.N1,47.0,-85.0,0.0,top
GENBLK2[1].GENBLK1[2].R2.N2,49.0,-85.0,0.0,top
GENBLK2[1].GENBLK1[2].R2.P1,47.0,-83.0,180.0,top
GENBLK2[1].GENBLK1[2].R2.P2,49.0,-83.0,180.0,top
GENBLK2[1].GENBLK1[3].D.DECAP.C,41.55,-88.0,90.0,top
GENBLK2[1].GENBLK1[3].D.L,40.65,-87.0,90.0,top
GENBLK2[1].GENBLK1[3].D.R,40.65,-89.0,270.0,top
GENBLK2[1].GENBLK1[3].L.NOT1.N1,31.0,-87.0,180.0,top
GENBLK2[1].GENBLK1[3].L.NOT1.N2,33.0,-87.0,180.0,top
GENBLK2[1].GENBLK1[3].L.NOT1.P1,31.0,-89.0,0.0,top
GENBLK2[1].GENBLK1[3].L.NOT1.P2,33.0,-89.0,0.0,top
GENBLK2[1].GENBLK1[3].L.NOT2.N1,39.0,-87.0,180.0,top
GENBLK2[1].GENBLK1[3].L.NOT2.P1,39.0,-89.0,0.0,top
GENBLK2[1].GENBLK1[3].L.NOT3.N1,37.0,-87.0,180.0,top
GENBLK2[1].GENBLK1[3].L.NOT3.N2,35.0,-87.0,180.0,top
GENBLK2[1].GENBLK1[3].L.NOT3.P1,37.0,-89.0,0.0,top
GENBLK2[1].GENBLK1[3].L.NOT3.P2,35.0,-89.0,0.0,top
GENBLK2[1].GENBLK1[3].R1.N1,43.0,-87.0,180.0,top
GENBLK2[1].GENBLK1[3].R1.N2,45.0,-87.0,180.0,top
GENBLK2[1].GENBLK1[3].R1.P1,43.0,-89.0,0.0,top
GENBLK2[1].GENBLK1[3].R1.P2,45.0,-89.0,0.0,top
GENBLK2[1].GENBLK1[3].R2.N1,47.0,-87.0,180.0,top
GENBLK2[1].GENBLK1[3].R2.N2,49.0,-87.0,180.0,top
GENBLK2[1].GENBLK1[3].R2.P1,47.0,-89.0,0.0,top
GENBLK2[1].GENBLK1[3].R2.P2,49.0,-89.0,0.0,top
GENBLK2[2].GENBLK1[0].D.DECAP.C,61.55,-76.0,90.0,top
GENBLK2[2].GENBLK1[0].D.L,60.65,-75.0,90.0,top
GENBLK2[2].GENBLK1[0].D.R,60.65,-77.0,270.0,top
GENBLK2[2].GENBLK1[0].L.NOT1.N1,51.0,-77.0,0.0,top
GENBLK2[2].GENBLK1[0].L.NOT1.N2,53.0,-77.0,0.0,top
GENBLK2[2].GENBLK1[0].L.NOT1.P1,51.0,-75.0,180.0,top
GENBLK2[2].GENBLK1[0].L.NOT1.P2,53.0,-75.0,180.0,top
GENBLK2[2].GENBLK1[0].L.NOT2.N1,59.0,-77.0,0.0,top
GENBLK2[2].GENBLK1[0].L.NOT2.P1,59.0,-75.0,180.0,top
GENBLK2[2].GENBLK1[0].L.NOT3.N1,57.0,-77.0,0.0,top
GENBLK2[2].GENBLK1[0].L.NOT3.N2,55.0,-77.0,0.0,top
GENBLK2[2].GENBLK1[0].L.NOT3.P1,57.0,-75.0,180.0,top
GENBLK2[2].GENBLK1[0].L.NOT3.P2,55.0,-75.0,180.0,top
GENBLK2[2].GENBLK1[0].R1.N1,63.0,-77.0,0.0,top
GENBLK2[2].GENBLK1[0].R1.N2,65.0,-77.0,0.0,top
GENBLK2[2].GENBLK1[0].R1.P1,63.0,-75.0,180.0,top
GENBLK2[2].GENBLK1[0].R1.P2,65.0,-75.0,180.0,top
GENBLK2[2].GENBLK1[0].R2.N1,67.0,-77.0,0.0,top
GENBLK2[2].GENBLK1[0].R2.N2,69.0,-77.0,0.0,top
GENBLK2[2].GENBLK1[0].R2.P1,67.0,-75.0,180.0,top
GENBLK2[2].GENBLK1[0].R2.P2,69.0,-75.0,180.0,top
GENBLK2[2].GENBLK1[1].D.DECAP.C,61.55,-80.0,90.0,top
GENBLK2[2].GENBLK1[1].D.L,60.65,-79.0,90.0,top
GENBLK2[2].GENBLK1[1].D.R,60.65,-81.0,270.0,top
GENBLK2[2].GENBLK1[1].L.NOT1.N1,51.0,-79.0,180.0,top
GENBLK2[2].GENBLK1[1].L.NOT1.N2,53.0,-79.0,180.0,top
GENBLK2[2].GENBLK1[1].L.NOT1.P1,51.0,-81.0,0.0,top
GENBLK2[2].GENBLK1[1].L.NOT1.P2,53.0,-81.0,0.0,top
GENBLK2[2].GENBLK1[1].L.NOT2.N1,59.0,-79.0,180.0,top
GENBLK2[2].GENBLK1[1].L.NOT2.P1,59.0,-81.0,0.0,top
GENBLK2[2].GENBLK1[1].L.NOT3.N1,57.0,-79.0,180.0,top
GENBLK2[2].GENBLK1[1].L.NOT3.N2,55.0,-79.0,180.0,top
GENBLK2[2].GENBLK1[1].L.NOT3.P1,57.0,-81.0,0.0,top
GENBLK2[2].GENBLK1[1].L.NOT3.P2,55.0,-81.0,0.0,top
GENBLK2[2].GENBLK1[1].R1.N1,63.0,-79.0,180.0,top
GENBLK2[2].GENBLK1[1].R1.N2,65.0,-79.0,180.0,top
GENBLK2[2].GENBLK1[1].R1.P1,63.0,-81.0,0.0,top
GENBLK2[2].GENBLK1[1].R1.P2,65.0,-81.0,0.0,top
GENBLK2[2].GENBLK1[1].R2.N1,67.0,-79.0,180.0,top
GENBLK2[2].GENBLK1[1].R2.N2,69.0,-79.0,180.0,top
GENBLK2[2].GENBLK1[1].R2.P1,67.0,-81.0,0.0,top
GENBLK2[2].GENBLK1[1].R2.P2,69.0,-81.0,0.0,top
GENBLK2[2].GENBLK1[2].D.DECAP.C,61.55,-84.0,90.0,top
GENBLK2[2].GENBLK1[2].D.L,60.65,-83.0,90.0,top
GENBLK2[2].GENBLK1[2].D.R,60.65,-85.0,270.0,top
GENBLK2[2].GENBLK1[2].L.NOT1.N1,51.0,-85.0,0.0,top
GENBLK2[2].GENBLK1[2].L.NOT1.N2,53.0,-85.0,0.0,top
GENBLK2[2].GENBLK1[2].L.NOT1.P1,51.0,-83.0,180.0,top
GENBLK2[2].GENBLK1[2].L.NOT1.P2,53.0,-83.0,180.0,top
GENBLK2[2].GENBLK1[2].L.NOT2.N1,59.0,-85.0,0.0,top
GENBLK2[2].GENBLK1[2].L.NOT2.P1,59.0,-83.0,180.0,top
GENBLK2[2].GENBLK1[2].L.NOT3.N1,57.0,-85.0,0.0,top
GENBLK2[2].GENBLK1[2].L.NOT3.N2,55.0,-85.0,0.0,top
GENBLK2[2].GENBLK1[2].L.NOT3.P1,57.0,-83.0,180.0,top
GENBLK2[2].GENBLK1[2].L.NOT3.P2,55.0,-83.0,180.0,top
GENBLK2[2].GENBLK1[2].R1.N1,63.0,-85.0,0.0,top
GENBLK2[2].GENBLK1[2].R1.N2,65.0,-85.0,0.0,top
GENBLK2[2].GENBLK1[2].R1.P1,63.0,-83.0,180.0,top
GENBLK2[2].GENBLK1[2].R1.P2,65.0,-83.0,180.0,top
GENBLK2[2].GENBLK1[2].R2.N1,67.0,-85.0,0.0,top
GENBLK2[2].GENBLK1[2].R2.N2,69.0,-85.0,0.0,top
GENBLK2[2].GENBLK1[2].R2.P1,67.0,-83.0,180.0,top
GENBLK2[2].GENBLK1[2].R2.P2,69.0,-83.0,180.0,top
GENBLK2[2].GENBLK1[3].D.DECAP.C,61.55,-88.0,90.0,top
GENBLK2[2].GENBLK1[3].D.L,60.65,-87.0,90.0,top
GENBLK2[2].GENBLK1[3].D.R,60.65,-89.0,270.0,top
GENBLK2[2].GENBLK1[3].L.NOT1.N1,51.0,-87.0,180.0,top
GENBLK2[2].GENBLK1[3].L.NOT1.N2,53.0,-87.0,180.0,top
GENBLK2[2].GENBLK1[3].L.NOT1.P1,51.0,-89.0,0.0,top
GENBLK2[2].GENBLK1[3].L.NOT1.P2,53.0,-89.0,0.0,top
GENBLK2[2].GENBLK1[3].L.NOT2.N1,59.0,-87.0,180.0,top
GENBLK2[2].GENBLK1[3].L.NOT2.P1,59.0,-89.0,0.0,top
GENBLK2[2].GENBLK1[3].L.NOT3.N1,57.0,-87.0,180.0,top
GENBLK2[2].GENBLK1[3].L.NOT3.N2,55.0,-87.0,180.0,top
GENBLK2[2].GENBLK1[3].L.NOT3.P1,57.0,-89.0,0.0,top
GENBLK2[2].GENBLK1[3].L.NOT3.P2,55.0,-89.0,0.0,top
GENBLK2[2].GENBLK1[3].R1.N1,63.0,-87.0,180.0,top
GENBLK2[2].GENBLK1[3].R1.N2,65.0,-87.0,180.0,top
GENBLK2[2].GENBLK1[3].R1.P1,63.0,-89.0,0.0,top
GENBLK2[2].GENBLK1[3].R1.P2,65.0,-89.0,0.0,top
GENBLK2[2].GENBLK1[3].R2.N1,67.0,-87.0,180.0,top
GENBLK2[2].GENBLK1[3].R2.N2,69.0,-87.0,180.0,top
GENBLK2[2].GENBLK1[3].R2.P1,67.0,-89.0,0.0,top
GENBLK2[2].GENBLK1[3].R2.P2,69.0,-89.0,0.0,top
GENBLK2[3].GENBLK1[0].D.DECAP.C,81.55,-76.0,90.0,top
GENBLK2[3].GENBLK1[0].D.L,80.65,-75.0,90.0,top
GENBLK2[3].GENBLK1[0].D.R,80.65,-77.0,270.0,top
GENBLK2[3].GENBLK1[0].L.NOT1.N1,71.0,-77.0,0.0,top
GENBLK2[3].GENBLK1[0].L.NOT1.N2,73.0,-77.0,0.0,top
GENBLK2[3].GENBLK1[0].L.NOT1.P1,71.0,-75.0,180.0,top
GENBLK2[3].GENBLK1[0].L.NOT1.P2,73.0,-75.0,180.0,top
GENBLK2[3].GENBLK1[0].L.NOT2.N1,79.0,-77.0,0.0,top
GENBLK2[3].GENBLK1[0].L.NOT2.P1,79.0,-75.0,180.0,top
GENBLK2[3].GENBLK1[0].L.NOT3.N1,77.0,-77.0,0.0,top
GENBLK2[3].GENBLK1[0].L.NOT3.N2,75.0,-77.0,0.0,top
GENBLK2[3].GENBLK1[0].L.NOT3.P1,77.0,-75.0,180.0,top
GENBLK2[3].GENBLK1[0].L.NOT3.P2,75.0,-75.0,180.0,top
GENBLK2[3].GENBLK1[0].R1.N1,83.0,-77.0,0.0,top
GENBLK2[3].GENBLK1[0].R1.N2,85.0,-77.0,0.0,top
GENBLK2[3].GENBLK1[0].R1.P1,83.0,-75.0,180.0,top
GENBLK2[3].GENBLK1[0].R1.P2,85.0,-75.0,180.0,top
GENBLK2[3].GENBLK1[0].R2.N1,87.0,-77.0,0.0,top
GENBLK2[3].GENBLK1[0].R2.N2,89.0,-77.0,0.0,top
GENBLK2[3].GENBLK1[0].R2.P1,87.0,-75.0,180.0,top
GENBLK2[3].GENBLK1[0].R2.P2,89.0,-75.0,180.0,top
GENBLK2[3].GENBLK1[1].D.DECAP.C,81.55,-80.0,90.0,top
GENBLK2[3].GENBLK1[1].D.L,80.65,-79.0,90.0,top
GENBLK2[3].GENBLK1[1].D.R,80.65,-81.0,270.0,top
GENBLK2[3].GENBLK1[1].L.NOT1.N1,71.0,-79.0,180.0,top
GENBLK2[3].GENBLK1[1].L.NOT1.N2,73.0,-79.0,180.0,top
GENBLK2[3].GENBLK1[1].L.NOT1.P1,71.0,-81.0,0.0,top
GENBLK2[3].GENBLK1[1].L.NOT1.P2,73.0,-81.0,0.0,top
GENBLK2[3].GENBLK1[1].L.NOT2.N1,79.0,-79.0,180.0,top
GENBLK2[3].GENBLK1[1].L.NOT2.P1,79.0,-81.0,0.0,top
GENBLK2[3].GENBLK1[1].L.NOT3.N1,77.0,-79.0,180.0,top
GENBLK2[3].GENBLK1[1].L.NOT3.N2,75.0,-79.0,180.0,top
GENBLK2[3].GENBLK1[1].L.NOT3.P1,77.0,-81.0,0.0,top
GENBLK2[3].GENBLK1[1].L.NOT3.P2,75.0,-81.0,0.0,top
GENBLK2[3].GENBLK1[1].R1.N1,83.0,-79.0,180.0,top
GENBLK2[3].GENBLK1[1].R1.N2,85.0,-79.0,180.0,top
GENBLK2[3].GENBLK1[1].R1.P1,83.0,-81.0,0.0,top
GENBLK2[3].GENBLK1[1].R1.P2,85.0,-81.0,0.0,top
GENBLK2[3].GENBLK1[1].R2.N1,87.0,-79.0,180.0,top
