Designator,Footprint,Quantity,Value,LCSC Part #
"NOR3_2.N1, NOR3_2.N2, NOR3_2.N3, NOR4_1.N1, NOR4_1.N2, NOR4_1.N3, NOR4_1.N4, NOT_1.N1, NOT_2.N1, NOT_3.N1, NOT_4.N1, OAI211_1.N1, OAI211_1.N2, OAI211_1.N3, OAI211_1.N4, OAI21_1.N1, OAI21_1.N2, OAI21_1.N3, OAI22_1.N1, OAI22_1.N2, OAI22_1.N3, OAI22_1.N4, TINV_1.N1, TINV_1.N2, TINV_2.N1, TINV_2.N2, TINV_3.N1, TINV_3.N2, TINV_4.N1, TINV_4.N2,AOI211_1.N1, AOI211_1.N2, AOI211_1.N3, AOI211_1.N4, AOI21_1.N1, AOI21_1.N2, AOI21_1.N3, AOI22_1.N1, AOI22_1.N2, AOI22_1.N3, AOI22_1.N4, GENBLK1[10].N, GENBLK1[11].N, GENBLK1[12].N, GENBLK1[13].N, GENBLK1[14].N, GENBLK1[15].N, GENBLK1[16].N, GENBLK1[1].N, GENBLK1[2].N, GENBLK1[3].N, GENBLK1[4].N, GENBLK1[5].N, GENBLK1[6].N, GENBLK1[7].N, GENBLK1[8].N, GENBLK1[9].N, GENBLK2[0].GENBLK1[0].L.NOT1.N1, GENBLK2[0].GENBLK1[0].L.NOT1.N2, GENBLK2[0].GENBLK1[0].L.NOT2.N1, GENBLK2[0].GENBLK1[0].L.NOT3.N1, GENBLK2[0].GENBLK1[0].L.NOT3.N2, GENBLK2[0].GENBLK1[0].R1.N1, GENBLK2[0].GENBLK1[0].R1.N2, GENBLK2[0].GENBLK1[0].R2.N1, GENBLK2[0].GENBLK1[0].R2.N2, GENBLK2[0].GENBLK1[1].L.NOT1.N1, GENBLK2[0].GENBLK1[1].L.NOT1.N2, GENBLK2[0].GENBLK1[1].L.NOT2.N1, GENBLK2[0].GENBLK1[1].L.NOT3.N1, GENBLK2[0].GENBLK1[1].L.NOT3.N2, GENBLK2[0].GENBLK1[1].R1.N1, GENBLK2[0].GENBLK1[1].R1.N2, GENBLK2[0].GENBLK1[1].R2.N1, GENBLK2[0].GENBLK1[1].R2.N2, GENBLK2[0].GENBLK1[2].L.NOT1.N1, GENBLK2[0].GENBLK1[2].L.NOT1.N2, GENBLK2[0].GENBLK1[2].L.NOT2.N1, GENBLK2[0].GENBLK1[2].L.NOT3.N1, GENBLK2[0].GENBLK1[2].L.NOT3.N2, GENBLK2[0].GENBLK1[2].R1.N1, GENBLK2[0].GENBLK1[2].R1.N2, GENBLK2[0].GENBLK1[2].R2.N1, GENBLK2[0].GENBLK1[2].R2.N2, GENBLK2[0].GENBLK1[3].L.NOT1.N1, GENBLK2[0].GENBLK1[3].L.NOT1.N2, GENBLK2[0].GENBLK1[3].L.NOT2.N1, GENBLK2[0].GENBLK1[3].L.NOT3.N1, GENBLK2[0].GENBLK1[3].L.NOT3.N2, GENBLK2[0].GENBLK1[3].R1.N1, GENBLK2[0].GENBLK1[3].R1.N2, GENBLK2[0].GENBLK1[3].R2.N1, GENBLK2[0].GENBLK1[3].R2.N2, GENBLK2[1].GENBLK1[0].L.NOT1.N1, GENBLK2[1].GENBLK1[0].L.NOT1.N2, GENBLK2[1].GENBLK1[0].L.NOT2.N1, GENBLK2[1].GENBLK1[0].L.NOT3.N1, GENBLK2[1].GENBLK1[0].L.NOT3.N2, GENBLK2[1].GENBLK1[0].R1.N1, GENBLK2[1].GENBLK1[0].R1.N2, GENBLK2[1].GENBLK1[0].R2.N1, GENBLK2[1].GENBLK1[0].R2.N2, GENBLK2[1].GENBLK1[1].L.NOT1.N1, GENBLK2[1].GENBLK1[1].L.NOT1.N2, GENBLK2[1].GENBLK1[1].L.NOT2.N1, GENBLK2[1].GENBLK1[1].L.NOT3.N1, GENBLK2[1].GENBLK1[1].L.NOT3.N2, GENBLK2[1].GENBLK1[1].R1.N1, GENBLK2[1].GENBLK1[1].R1.N2, GENBLK2[1].GENBLK1[1].R2.N1, GENBLK2[1].GENBLK1[1].R2.N2, GENBLK2[1].GENBLK1[2].L.NOT1.N1, GENBLK2[1].GENBLK1[2].L.NOT1.N2, GENBLK2[1].GENBLK1[2].L.NOT2.N1, GENBLK2[1].GENBLK1[2].L.NOT3.N1, GENBLK2[1].GENBLK1[2].L.NOT3.N2, GENBLK2[1].GENBLK1[2].R1.N1, GENBLK2[1].GENBLK1[2].R1.N2, GENBLK2[1].GENBLK1[2].R2.N1, GENBLK2[1].GENBLK1[2].R2.N2, GENBLK2[1].GENBLK1[3].L.NOT1.N1, GENBLK2[1].GENBLK1[3].L.NOT1.N2, GENBLK2[1].GENBLK1[3].L.NOT2.N1, GENBLK2[1].GENBLK1[3].L.NOT3.N1, GENBLK2[1].GENBLK1[3].L.NOT3.N2, GENBLK2[1].GENBLK1[3].R1.N1, GENBLK2[1].GENBLK1[3].R1.N2, GENBLK2[1].GENBLK1[3].R2.N1, GENBLK2[1].GENBLK1[3].R2.N2, GENBLK2[2].GENBLK1[0].L.NOT1.N1, GENBLK2[2].GENBLK1[0].L.NOT1.N2, GENBLK2[2].GENBLK1[0].L.NOT2.N1, GENBLK2[2].GENBLK1[0].L.NOT3.N1, GENBLK2[2].GENBLK1[0].L.NOT3.N2, GENBLK2[2].GENBLK1[0].R1.N1, GENBLK2[2].GENBLK1[0].R1.N2, GENBLK2[2].GENBLK1[0].R2.N1, GENBLK2[2].GENBLK1[0].R2.N2, GENBLK2[2].GENBLK1[1].L.NOT1.N1, GENBLK2[2].GENBLK1[1].L.NOT1.N2, GENBLK2[2].GENBLK1[1].L.NOT2.N1, GENBLK2[2].GENBLK1[1].L.NOT3.N1, GENBLK2[2].GENBLK1[1].L.NOT3.N2, GENBLK2[2].GENBLK1[1].R1.N1, GENBLK2[2].GENBLK1[1].R1.N2, GENBLK2[2].GENBLK1[1].R2.N1, GENBLK2[2].GENBLK1[1].R2.N2, GENBLK2[2].GENBLK1[2].L.NOT1.N1, GENBLK2[2].GENBLK1[2].L.NOT1.N2, GENBLK2[2].GENBLK1[2].L.NOT2.N1, GENBLK2[2].GENBLK1[2].L.NOT3.N1, GENBLK2[2].GENBLK1[2].L.NOT3.N2, GENBLK2[2].GENBLK1[2].R1.N1, GENBLK2[2].GENBLK1[2].R1.N2, GENBLK2[2].GENBLK1[2].R2.N1, GENBLK2[2].GENBLK1[2].R2.N2, GENBLK2[2].GENBLK1[3].L.NOT1.N1, GENBLK2[2].GENBLK1[3].L.NOT1.N2, GENBLK2[2].GENBLK1[3].L.NOT2.N1, GENBLK2[2].GENBLK1[3].L.NOT3.N1, GENBLK2[2].GENBLK1[3].L.NOT3.N2, GENBLK2[2].GENBLK1[3].R1.N1, GENBLK2[2].GENBLK1[3].R1.N2, GENBLK2[2].GENBLK1[3].R2.N1, GENBLK2[2].GENBLK1[3].R2.N2, GENBLK2[3].GENBLK1[0].L.NOT1.N1, GENBLK2[3].GENBLK1[0].L.NOT1.N2, GENBLK2[3].GENBLK1[0].L.NOT2.N1, GENBLK2[3].GENBLK1[0].L.NOT3.N1, GENBLK2[3].GENBLK1[0].L.NOT3.N2, GENBLK2[3].GENBLK1[0].R1.N1, GENBLK2[3].GENBLK1[0].R1.N2, GENBLK2[3].GENBLK1[0].R2.N1, GENBLK2[3].GENBLK1[0].R2.N2, GENBLK2[3].GENBLK1[1].L.NOT1.N1, GENBLK2[3].GENBLK1[1].L.NOT1.N2, GENBLK2[3].GENBLK1[1].L.NOT2.N1, GENBLK2[3].GENBLK1[1].L.NOT3.N1, GENBLK2[3].GENBLK1[1].L.NOT3.N2, GENBLK2[3].GENBLK1[1].R1.N1, GENBLK2[3].GENBLK1[1].R1.N2, GENBLK2[3].GENBLK1[1].R2.N1, GENBLK2[3].GENBLK1[1].R2.N2, GENBLK2[3].GENBLK1[2].L.NOT1.N1, GENBLK2[3].GENBLK1[2].L.NOT1.N2, GENBLK2[3].GENBLK1[2].L.NOT2.N1, GENBLK2[3].GENBLK1[2].L.NOT3.N1, GENBLK2[3].GENBLK1[2].L.NOT3.N2, GENBLK2[3].GENBLK1[2].R1.N1, GENBLK2[3].GENBLK1[2].R1.N2, GENBLK2[3].GENBLK1[2].R2.N1, GENBLK2[3].GENBLK1[2].R2.N2, GENBLK2[3].GENBLK1[3].L.NOT1.N1, GENBLK2[3].GENBLK1[3].L.NOT1.N2, GENBLK2[3].GENBLK1[3].L.NOT2.N1, GENBLK2[3].GENBLK1[3].L.NOT3.N1, GENBLK2[3].GENBLK1[3].L.NOT3.N2, GENBLK2[3].GENBLK1[3].R1.N1, GENBLK2[3].GENBLK1[3].R1.N2, GENBLK2[3].GENBLK1[3].R2.N1, GENBLK2[3].GENBLK1[3].R2.N2, NAND2_1.N1, NAND2_1.N2, NAND2_2.N1, NAND2_2.N2, NAND2_3.N1, NAND2_3.N2, NAND2_4.N1, NAND2_4.N2, NAND3_1.N1, NAND3_1.N2, NAND3_1.N3, NAND3_2.N1, NAND3_2.N2, NAND3_2.N3, NAND4_1.N1, NAND4_1.N2, NAND4_1.N3, NAND4_1.N4, NOR2_1.N1, NOR2_1.N2, NOR2_2.N1, NOR2_2.N2, NOR2_3.N1, NOR2_3.N2, NOR2_4.N1, NOR2_4.N2, NOR3_1.N1, NOR3_1.N2, NOR3_1.N3",SOT523,230,,C5258971
"NOR3_2.P1, NOR3_2.P2, NOR3_2.P3, NOR4_1.P1, NOR4_1.P2, NOR4_1.P3, NOR4_1.P4, NOT_1.P1, NOT_2.P1, NOT_3.P1, NOT_4.P1, OAI211_1.P1, OAI211_1.P2, OAI211_1.P3, OAI211_1.P4, OAI21_1.P1, OAI21_1.P2, OAI21_1.P3, OAI22_1.P1, OAI22_1.P2, OAI22_1.P3, OAI22_1.P4, TINV_1.P1, TINV_1.P2, TINV_2.P1, TINV_2.P2, TINV_3.P1, TINV_3.P2, TINV_4.P1, TINV_4.P2,AOI211_1.P1, AOI211_1.P2, AOI211_1.P3, AOI211_1.P4, AOI21_1.P1, AOI21_1.P2, AOI21_1.P3, AOI22_1.P1, AOI22_1.P2, AOI22_1.P3, AOI22_1.P4, GENBLK1[10].P, GENBLK1[11].P, GENBLK1[12].P, GENBLK1[13].P, GENBLK1[14].P, GENBLK1[15].P, GENBLK1[16].P, GENBLK1[1].P, GENBLK1[2].P, GENBLK1[3].P, GENBLK1[4].P, GENBLK1[5].P, GENBLK1[6].P, GENBLK1[7].P, GENBLK1[8].P, GENBLK1[9].P, GENBLK2[0].GENBLK1[0].L.NOT1.P1, GENBLK2[0].GENBLK1[0].L.NOT1.P2, GENBLK2[0].GENBLK1[0].L.NOT2.P1, GENBLK2[0].GENBLK1[0].L.NOT3.P1, GENBLK2[0].GENBLK1[0].L.NOT3.P2, GENBLK2[0].GENBLK1[0].R1.P1, GENBLK2[0].GENBLK1[0].R1.P2, GENBLK2[0].GENBLK1[0].R2.P1, GENBLK2[0].GENBLK1[0].R2.P2, GENBLK2[0].GENBLK1[1].L.NOT1.P1, GENBLK2[0].GENBLK1[1].L.NOT1.P2, GENBLK2[0].GENBLK1[1].L.NOT2.P1, GENBLK2[0].GENBLK1[1].L.NOT3.P1, GENBLK2[0].GENBLK1[1].L.NOT3.P2, GENBLK2[0].GENBLK1[1].R1.P1, GENBLK2[0].GENBLK1[1].R1.P2, GENBLK2[0].GENBLK1[1].R2.P1, GENBLK2[0].GENBLK1[1].R2.P2, GENBLK2[0].GENBLK1[2].L.NOT1.P1, GENBLK2[0].GENBLK1[2].L.NOT1.P2, GENBLK2[0].GENBLK1[2].L.NOT2.P1, GENBLK2[0].GENBLK1[2].L.NOT3.P1, GENBLK2[0].GENBLK1[2].L.NOT3.P2, GENBLK2[0].GENBLK1[2].R1.P1, GENBLK2[0].GENBLK1[2].R1.P2, GENBLK2[0].GENBLK1[2].R2.P1, GENBLK2[0].GENBLK1[2].R2.P2, GENBLK2[0].GENBLK1[3].L.NOT1.P1, GENBLK2[0].GENBLK1[3].L.NOT1.P2, GENBLK2[0].GENBLK1[3].L.NOT2.P1, GENBLK2[0].GENBLK1[3].L.NOT3.P1, GENBLK2[0].GENBLK1[3].L.NOT3.P2, GENBLK2[0].GENBLK1[3].R1.P1, GENBLK2[0].GENBLK1[3].R1.P2, GENBLK2[0].GENBLK1[3].R2.P1, GENBLK2[0].GENBLK1[3].R2.P2, GENBLK2[1].GENBLK1[0].L.NOT1.P1, GENBLK2[1].GENBLK1[0].L.NOT1.P2, GENBLK2[1].GENBLK1[0].L.NOT2.P1, GENBLK2[1].GENBLK1[0].L.NOT3.P1, GENBLK2[1].GENBLK1[0].L.NOT3.P2, GENBLK2[1].GENBLK1[0].R1.P1, GENBLK2[1].GENBLK1[0].R1.P2, GENBLK2[1].GENBLK1[0].R2.P1, GENBLK2[1].GENBLK1[0].R2.P2, GENBLK2[1].GENBLK1[1].L.NOT1.P1, GENBLK2[1].GENBLK1[1].L.NOT1.P2, GENBLK2[1].GENBLK1[1].L.NOT2.P1, GENBLK2[1].GENBLK1[1].L.NOT3.P1, GENBLK2[1].GENBLK1[1].L.NOT3.P2, GENBLK2[1].GENBLK1[1].R1.P1, GENBLK2[1].GENBLK1[1].R1.P2, GENBLK2[1].GENBLK1[1].R2.P1, GENBLK2[1].GENBLK1[1].R2.P2, GENBLK2[1].GENBLK1[2].L.NOT1.P1, GENBLK2[1].GENBLK1[2].L.NOT1.P2, GENBLK2[1].GENBLK1[2].L.NOT2.P1, GENBLK2[1].GENBLK1[2].L.NOT3.P1, GENBLK2[1].GENBLK1[2].L.NOT3.P2, GENBLK2[1].GENBLK1[2].R1.P1, GENBLK2[1].GENBLK1[2].R1.P2, GENBLK2[1].GENBLK1[2].R2.P1, GENBLK2[1].GENBLK1[2].R2.P2, GENBLK2[1].GENBLK1[3].L.NOT1.P1, GENBLK2[1].GENBLK1[3].L.NOT1.P2, GENBLK2[1].GENBLK1[3].L.NOT2.P1, GENBLK2[1].GENBLK1[3].L.NOT3.P1, GENBLK2[1].GENBLK1[3].L.NOT3.P2, GENBLK2[1].GENBLK1[3].R1.P1, GENBLK2[1].GENBLK1[3].R1.P2, GENBLK2[1].GENBLK1[3].R2.P1, GENBLK2[1].GENBLK1[3].R2.P2, GENBLK2[2].GENBLK1[0].L.NOT1.P1, GENBLK2[2].GENBLK1[0].L.NOT1.P2, GENBLK2[2].GENBLK1[0].L.NOT2.P1, GENBLK2[2].GENBLK1[0].L.NOT3.P1, GENBLK2[2].GENBLK1[0].L.NOT3.P2, GENBLK2[2].GENBLK1[0].R1.P1, GENBLK2[2].GENBLK1[0].R1.P2, GENBLK2[2].GENBLK1[0].R2.P1, GENBLK2[2].GENBLK1[0].R2.P2, GENBLK2[2].GENBLK1[1].L.NOT1.P1, GENBLK2[2].GENBLK1[1].L.NOT1.P2, GENBLK2[2].GENBLK1[1].L.NOT2.P1, GENBLK2[2].GENBLK1[1].L.NOT3.P1, GENBLK2[2].GENBLK1[1].L.NOT3.P2, GENBLK2[2].GENBLK1[1].R1.P1, GENBLK2[2].GENBLK1[1].R1.P2, GENBLK2[2].GENBLK1[1].R2.P1, GENBLK2[2].GENBLK1[1].R2.P2, GENBLK2[2].GENBLK1[2].L.NOT1.P1, GENBLK2[2].GENBLK1[2].L.NOT1.P2, GENBLK2[2].GENBLK1[2].L.NOT2.P1, GENBLK2[2].GENBLK1[2].L.NOT3.P1, GENBLK2[2].GENBLK1[2].L.NOT3.P2, GENBLK2[2].GENBLK1[2].R1.P1, GENBLK2[2].GENBLK1[2].R1.P2, GENBLK2[2].GENBLK1[2].R2.P1, GENBLK2[2].GENBLK1[2].R2.P2, GENBLK2[2].GENBLK1[3].L.NOT1.P1, GENBLK2[2].GENBLK1[3].L.NOT1.P2, GENBLK2[2].GENBLK1[3].L.NOT2.P1, GENBLK2[2].GENBLK1[3].L.NOT3.P1, GENBLK2[2].GENBLK1[3].L.NOT3.P2, GENBLK2[2].GENBLK1[3].R1.P1, GENBLK2[2].GENBLK1[3].R1.P2, GENBLK2[2].GENBLK1[3].R2.P1, GENBLK2[2].GENBLK1[3].R2.P2, GENBLK2[3].GENBLK1[0].L.NOT1.P1, GENBLK2[3].GENBLK1[0].L.NOT1.P2, GENBLK2[3].GENBLK1[0].L.NOT2.P1, GENBLK2[3].GENBLK1[0].L.NOT3.P1, GENBLK2[3].GENBLK1[0].L.NOT3.P2, GENBLK2[3].GENBLK1[0].R1.P1, GENBLK2[3].GENBLK1[0].R1.P2, GENBLK2[3].GENBLK1[0].R2.P1, GENBLK2[3].GENBLK1[0].R2.P2, GENBLK2[3].GENBLK1[1].L.NOT1.P1, GENBLK2[3].GENBLK1[1].L.NOT1.P2, GENBLK2[3].GENBLK1[1].L.NOT2.P1, GENBLK2[3].GENBLK1[1].L.NOT3.P1, GENBLK2[3].GENBLK1[1].L.NOT3.P2, GENBLK2[3].GENBLK1[1].R1.P1, GENBLK2[3].GENBLK1[1].R1.P2, GENBLK2[3].GENBLK1[1].R2.P1, GENBLK2[3].GENBLK1[1].R2.P2, GENBLK2[3].GENBLK1[2].L.NOT1.P1, GENBLK2[3].GENBLK1[2].L.NOT1.P2, GENBLK2[3].GENBLK1[2].L.NOT2.P1, GENBLK2[3].GENBLK1[2].L.NOT3.P1, GENBLK2[3].GENBLK1[2].L.NOT3.P2, GENBLK2[3].GENBLK1[2].R1.P1, GENBLK2[3].GENBLK1[2].R1.P2, GENBLK2[3].GENBLK1[2].R2.P1, GENBLK2[3].GENBLK1[2].R2.P2, GENBLK2[3].GENBLK1[3].L.NOT1.P1, GENBLK2[3].GENBLK1[3].L.NOT1.P2, GENBLK2[3].GENBLK1[3].L.NOT2.P1, GENBLK2[3].GENBLK1[3].L.NOT3.P1, GENBLK2[3].GENBLK1[3].L.NOT3.P2, GENBLK2[3].GENBLK1[3].R1.P1, GENBLK2[3].GENBLK1[3].R1.P2, GENBLK2[3].GENBLK1[3].R2.P1, GENBLK2[3].GENBLK1[3].R2.P2, NAND2_1.P1, NAND2_1.P2, NAND2_2.P1, NAND2_2.P2, NAND2_3.P1, NAND2_3.P2, NAND2_4.P1, NAND2_4.P2, NAND3_1.P1, NAND3_1.P2, NAND3_1.P3, NAND3_2.P1, NAND3_2.P2, NAND3_2.P3, NAND4_1.P1, NAND4_1.P2, NAND4_1.P3, NAND4_1.P4, NOR2_1.P1, NOR2_1.P2, NOR2_2.P1, NOR2_2.P2, NOR2_3.P1, NOR2_3.P2, NOR2_4.P1, NOR2_4.P2, NOR3_1.P1, NOR3_1.P2, NOR3_1.P3",SOT523,230,,C41355141
"DECAP1, DECAP2, DECAP3, DECAP4",0402,4,10u,C15525
"DECAP_LED_12.L, DECAP_LED_19.L, GENBLK2[0].GENBLK1[0].D.L, GENBLK2[0].GENBLK1[1].D.L, GENBLK2[0].GENBLK1[2].D.L, GENBLK2[0].GENBLK1[3].D.L, GENBLK2[1].GENBLK1[0].D.L, GENBLK2[1].GENBLK1[1].D.L, GENBLK2[1].GENBLK1[2].D.L, GENBLK2[1].GENBLK1[3].D.L, GENBLK2[2].GENBLK1[0].D.L, GENBLK2[2].GENBLK1[1].D.L, GENBLK2[2].GENBLK1[2].D.L, GENBLK2[2].GENBLK1[3].D.L, GENBLK2[3].GENBLK1[0].D.L, GENBLK2[3].GENBLK1[1].D.L, GENBLK2[3].GENBLK1[2].D.L, GENBLK2[3].GENBLK1[3].D.L",0402,18,,C22355736
"DECAP_1.C, DECAP_10.C, DECAP_11.C, DECAP_13.C, DECAP_14.C, DECAP_15.C, DECAP_16.C, DECAP_17.C, DECAP_18.C, DECAP_2.C, DECAP_3.C, DECAP_4.C, DECAP_5.C, DECAP_6.C, DECAP_7.C, DECAP_8.C, DECAP_LED_12.DECAP.C, DECAP_LED_19.DECAP.C, GENBLK2[0].GENBLK1[0].D.DECAP.C, GENBLK2[0].GENBLK1[1].D.DECAP.C, GENBLK2[0].GENBLK1[2].D.DECAP.C, GENBLK2[0].GENBLK1[3].D.DECAP.C, GENBLK2[1].GENBLK1[0].D.DECAP.C, GENBLK2[1].GENBLK1[1].D.DECAP.C, GENBLK2[1].GENBLK1[2].D.DECAP.C, GENBLK2[1].GENBLK1[3].D.DECAP.C, GENBLK2[2].GENBLK1[0].D.DECAP.C, GENBLK2[2].GENBLK1[1].D.DECAP.C, GENBLK2[2].GENBLK1[2].D.DECAP.C, GENBLK2[2].GENBLK1[3].D.DECAP.C, GENBLK2[3].GENBLK1[0].D.DECAP.C, GENBLK2[3].GENBLK1[1].D.DECAP.C, GENBLK2[3].GENBLK1[2].D.DECAP.C, GENBLK2[3].GENBLK1[3].D.DECAP.C",0402,34,0.1u,C1525
"DECAP_LED_12.R, DECAP_LED_19.R, GENBLK2[0].GENBLK1[0].D.R, GENBLK2[0].GENBLK1[1].D.R, GENBLK2[0].GENBLK1[2].D.R, GENBLK2[0].GENBLK1[3].D.R, GENBLK2[1].GENBLK1[0].D.R, GENBLK2[1].GENBLK1[1].D.R, GENBLK2[1].GENBLK1[2].D.R, GENBLK2[1].GENBLK1[3].D.R, GENBLK2[2].GENBLK1[0].D.R, GENBLK2[2].GENBLK1[1].D.R, GENBLK2[2].GENBLK1[2].D.R, GENBLK2[2].GENBLK1[3].D.R, GENBLK2[3].GENBLK1[0].D.R, GENBLK2[3].GENBLK1[1].D.R, GENBLK2[3].GENBLK1[2].D.R, GENBLK2[3].GENBLK1[3].D.R",0402,18,330,C25104
