Designator,Mid X,Mid Y,Rotation,Layer
U_COMP._109_.P2,23.0,-39.0,0.0,top
U_COMP._110_.N1,27.0,-43.0,0.0,top
U_COMP._110_.N2,29.0,-43.0,0.0,top
U_COMP._110_.N3,31.0,-43.0,0.0,top
U_COMP._110_.P1,27.0,-41.0,180.0,top
U_COMP._110_.P2,29.0,-41.0,180.0,top
U_COMP._110_.P3,31.0,-41.0,180.0,top
U_COMP._111_.N1,27.0,-19.0,0.0,top
U_COMP._111_.N2,29.0,-19.0,0.0,top
U_COMP._111_.N3,31.0,-19.0,0.0,top
U_COMP._111_.P1,27.0,-17.0,180.0,top
U_COMP._111_.P2,29.0,-17.0,180.0,top
U_COMP._111_.P3,31.0,-17.0,180.0,top
U_COMP._112_.NAND1.N1,25.0,-37.0,180.0,top
U_COMP._112_.NAND1.N2,27.0,-37.0,180.0,top
U_COMP._112_.NAND1.N3,29.0,-37.0,180.0,top
U_COMP._112_.NAND1.N4,31.0,-37.0,180.0,top
U_COMP._112_.NAND1.P1,25.0,-39.0,0.0,top
U_COMP._112_.NAND1.P2,27.0,-39.0,0.0,top
U_COMP._112_.NAND1.P3,29.0,-39.0,0.0,top
U_COMP._112_.NAND1.P4,31.0,-39.0,0.0,top
U_COMP._112_.NOT1.N1,33.0,-37.0,180.0,top
U_COMP._112_.NOT1.P1,33.0,-39.0,0.0,top
U_COMP._113_.N1,22.0,-27.0,0.0,top
U_COMP._113_.N2,24.0,-27.0,0.0,top
U_COMP._113_.N3,26.0,-27.0,0.0,top
U_COMP._113_.N4,28.0,-27.0,0.0,top
U_COMP._113_.P1,22.0,-25.0,180.0,top
U_COMP._113_.P2,24.0,-25.0,180.0,top
U_COMP._113_.P3,26.0,-25.0,180.0,top
U_COMP._113_.P4,28.0,-25.0,180.0,top
U_COMP._114_.N1,31.0,-27.0,0.0,top
U_COMP._114_.N2,33.0,-27.0,0.0,top
U_COMP._114_.P1,31.0,-25.0,180.0,top
U_COMP._114_.P2,33.0,-25.0,180.0,top
U_COMP._115_.N1,23.0,-21.0,180.0,top
U_COMP._115_.N2,25.0,-21.0,180.0,top
U_COMP._115_.N3,27.0,-21.0,180.0,top
U_COMP._115_.P1,23.0,-23.0,0.0,top
U_COMP._115_.P2,25.0,-23.0,0.0,top
U_COMP._115_.P3,27.0,-23.0,0.0,top
U_COMP._116_.NAND4.N1,27.0,-29.0,180.0,top
U_COMP._116_.NAND4.N2,29.0,-29.0,180.0,top
U_COMP._116_.NAND4.N3,31.0,-29.0,180.0,top
U_COMP._116_.NAND4.N4,33.0,-29.0,180.0,top
U_COMP._116_.NAND4.P1,27.0,-31.0,0.0,top
U_COMP._116_.NAND4.P2,29.0,-31.0,0.0,top
U_COMP._116_.NAND4.P3,31.0,-31.0,0.0,top
U_COMP._116_.NAND4.P4,33.0,-31.0,0.0,top
U_COMP._116_.NOT1.N1,25.0,-29.0,180.0,top
U_COMP._116_.NOT1.P1,25.0,-31.0,0.0,top
U_COMP._117_.N1,31.0,-35.0,0.0,top
U_COMP._117_.N2,33.0,-35.0,0.0,top
U_COMP._117_.P1,31.0,-33.0,180.0,top
U_COMP._117_.P2,33.0,-33.0,180.0,top
U_COMP._118_.N1,29.0,-21.0,180.0,top
U_COMP._118_.N2,31.0,-21.0,180.0,top
U_COMP._118_.N3,33.0,-21.0,180.0,top
U_COMP._118_.P1,29.0,-23.0,0.0,top
U_COMP._118_.P2,31.0,-23.0,0.0,top
U_COMP._118_.P3,33.0,-23.0,0.0,top
U_COMP._119_.N1,21.0,-35.0,0.0,top
U_COMP._119_.N2,23.0,-35.0,0.0,top
U_COMP._119_.P1,21.0,-33.0,180.0,top
U_COMP._119_.P2,23.0,-33.0,180.0,top
U_COMP._120_.N1,25.0,-35.0,0.0,top
U_COMP._120_.N2,27.0,-35.0,0.0,top
U_COMP._120_.N3,29.0,-35.0,0.0,top
U_COMP._120_.P1,25.0,-33.0,180.0,top
U_COMP._120_.P2,27.0,-33.0,180.0,top
U_COMP._120_.P3,29.0,-33.0,180.0,top
U_COMP._121_.N1,21.0,-67.0,0.0,top
U_COMP._121_.N2,23.0,-67.0,0.0,top
U_COMP._121_.N3,25.0,-67.0,0.0,top
U_COMP._121_.N4,27.0,-67.0,0.0,top
U_COMP._121_.P1,21.0,-65.0,180.0,top
U_COMP._121_.P2,23.0,-65.0,180.0,top
U_COMP._121_.P3,25.0,-65.0,180.0,top
U_COMP._121_.P4,27.0,-65.0,180.0,top
U_COMP._122_.N1,21.0,-53.0,180.0,top
U_COMP._122_.N2,23.0,-53.0,180.0,top
U_COMP._122_.N3,25.0,-53.0,180.0,top
U_COMP._122_.N4,27.0,-53.0,180.0,top
U_COMP._122_.P1,21.0,-55.0,0.0,top
U_COMP._122_.P2,23.0,-55.0,0.0,top
U_COMP._122_.P3,25.0,-55.0,0.0,top
U_COMP._122_.P4,27.0,-55.0,0.0,top
U_COMP._123_.NOT1.N1,31.0,-61.0,180.0,top
