Designator,Mid X,Mid Y,Rotation,Layer
SH1._190_.P2,36.0,-35.0,180.0,top
SH1._190_.P3,38.0,-35.0,180.0,top
SH1._190_.P4,40.0,-35.0,180.0,top
SH1._191_.N1,34.0,-45.0,0.0,top
SH1._191_.N2,36.0,-45.0,0.0,top
SH1._191_.N3,38.0,-45.0,0.0,top
SH1._191_.N4,40.0,-45.0,0.0,top
SH1._191_.P1,34.0,-43.0,180.0,top
SH1._191_.P2,36.0,-43.0,180.0,top
SH1._191_.P3,38.0,-43.0,180.0,top
SH1._191_.P4,40.0,-43.0,180.0,top
SH1._192_.N1,42.0,-55.0,180.0,top
SH1._192_.N2,44.0,-55.0,180.0,top
SH1._192_.N3,46.0,-55.0,180.0,top
SH1._192_.N4,48.0,-55.0,180.0,top
SH1._192_.P1,42.0,-57.0,0.0,top
SH1._192_.P2,44.0,-57.0,0.0,top
SH1._192_.P3,46.0,-57.0,0.0,top
SH1._192_.P4,48.0,-57.0,0.0,top
SH1._193_.N1,42.0,-45.0,0.0,top
SH1._193_.N2,44.0,-45.0,0.0,top
SH1._193_.N3,46.0,-45.0,0.0,top
SH1._193_.N4,48.0,-45.0,0.0,top
SH1._193_.P1,42.0,-43.0,180.0,top
SH1._193_.P2,44.0,-43.0,180.0,top
SH1._193_.P3,46.0,-43.0,180.0,top
SH1._193_.P4,48.0,-43.0,180.0,top
SH1._194_.N1,38.0,-39.0,180.0,top
SH1._194_.N2,40.0,-39.0,180.0,top
SH1._194_.N3,42.0,-39.0,180.0,top
SH1._194_.N4,44.0,-39.0,180.0,top
SH1._194_.P1,38.0,-41.0,0.0,top
SH1._194_.P2,40.0,-41.0,0.0,top
SH1._194_.P3,42.0,-41.0,0.0,top
SH1._194_.P4,44.0,-41.0,0.0,top
SH1._195_.N1,25.0,-37.0,0.0,top
SH1._195_.N2,27.0,-37.0,0.0,top
SH1._195_.N3,29.0,-37.0,0.0,top
SH1._195_.N4,31.0,-37.0,0.0,top
SH1._195_.P1,25.0,-35.0,180.0,top
SH1._195_.P2,27.0,-35.0,180.0,top
SH1._195_.P3,29.0,-35.0,180.0,top
SH1._195_.P4,31.0,-35.0,180.0,top
SH1._196_.N1,26.0,-31.0,180.0,top
SH1._196_.N2,28.0,-31.0,180.0,top
SH1._196_.N3,30.0,-31.0,180.0,top
SH1._196_.N4,32.0,-31.0,180.0,top
SH1._196_.P1,26.0,-33.0,0.0,top
SH1._196_.P2,28.0,-33.0,0.0,top
SH1._196_.P3,30.0,-33.0,0.0,top
SH1._196_.P4,32.0,-33.0,0.0,top
SH1._197_.N1,41.0,-47.0,180.0,top
SH1._197_.N2,43.0,-47.0,180.0,top
SH1._197_.N3,45.0,-47.0,180.0,top
SH1._197_.N4,47.0,-47.0,180.0,top
SH1._197_.P1,41.0,-49.0,0.0,top
SH1._197_.P2,43.0,-49.0,0.0,top
SH1._197_.P3,45.0,-49.0,0.0,top
SH1._197_.P4,47.0,-49.0,0.0,top
SH1._198_.N1,33.0,-47.0,180.0,top
SH1._198_.N2,35.0,-47.0,180.0,top
SH1._198_.N3,37.0,-47.0,180.0,top
SH1._198_.N4,39.0,-47.0,180.0,top
SH1._198_.P1,33.0,-49.0,0.0,top
SH1._198_.P2,35.0,-49.0,0.0,top
SH1._198_.P3,37.0,-49.0,0.0,top
SH1._198_.P4,39.0,-49.0,0.0,top
SH1._199_.N1,17.0,-37.0,0.0,top
SH1._199_.N2,19.0,-37.0,0.0,top
SH1._199_.N3,21.0,-37.0,0.0,top
SH1._199_.N4,23.0,-37.0,0.0,top
SH1._199_.P1,17.0,-35.0,180.0,top
SH1._199_.P2,19.0,-35.0,180.0,top
SH1._199_.P3,21.0,-35.0,180.0,top
SH1._199_.P4,23.0,-35.0,180.0,top
SH1._200_.N1,42.0,-31.0,180.0,top
SH1._200_.N2,44.0,-31.0,180.0,top
SH1._200_.N3,46.0,-31.0,180.0,top
SH1._200_.N4,48.0,-31.0,180.0,top
SH1._200_.P1,42.0,-33.0,0.0,top
SH1._200_.P2,44.0,-33.0,0.0,top
