transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'01,5.0,40.0,150.0,23.075400000000002,2.128069,55.60913085937502,25.12817382812501
'10,5.0,40.0,150.0,26.536869999999997,2.2718689999999997,40.83862304687501,13.714599609375007
'01,5.0,100.0,10.0,37.923719999999996,2.1306549999999995,1.2268066406250067,37.481689453125014
'10,5.0,100.0,10.0,41.50804,2.27241,-8.172607421874995,22.44262695312501
'01,5.0,100.0,20.0,37.923719999999996,2.1306549999999995,2.166748046875007,36.67602539062501
'10,5.0,100.0,20.0,41.50804,2.27241,-7.366943359374995,21.502685546875007
'01,5.0,100.0,40.0,37.923719999999996,2.1306549999999995,5.657958984375006,33.721923828125014
'10,5.0,100.0,40.0,41.50804,2.27241,-3.741455078124994,17.877197265625007
'01,5.0,100.0,100.0,37.92364,2.130629,22.039794921875007,32.91625976562501
'10,5.0,100.0,100.0,41.50795,2.272404,6.329345703125008,12.640380859375007
'01,5.0,100.0,150.0,37.9231,2.130893,33.721923828125014,38.421630859375014
'10,5.0,100.0,150.0,41.50793,2.2730509999999997,11.700439453125007,15.86303710937501
'01,5.0,150.0,10.0,49.08565,2.1342489999999996,-11.395263671874995,48.89526367187501
'10,5.0,150.0,10.0,52.74970999999999,2.273425,-22.137451171874996,33.587646484375014
'01,5.0,150.0,20.0,49.08565,2.1342489999999996,-10.455322265624993,47.955322265625
'10,5.0,150.0,20.0,52.74970999999999,2.273425,-21.197509765625,32.78198242187501
'01,5.0,150.0,40.0,49.08565,2.1342489999999996,-6.829833984374994,45.00122070312501
'10,5.0,150.0,40.0,52.74970999999999,2.273425,-17.706298828124996,29.156494140625007
'01,5.0,150.0,100.0,49.08557999999999,2.134222,8.746337890625009,44.195556640625
'10,5.0,150.0,100.0,52.749629999999996,2.27342,-9.649658203124995,20.42846679687501
'01,5.0,150.0,150.0,49.08493,2.133988,19.488525390625014,49.70092773437501
'10,5.0,150.0,150.0,52.74959,2.273418,-6.158447265624994,21.771240234375007
'01,10.0,10.0,10.0,14.406339999999998,2.4722389999999996,33.184814453125014,16.13159179687501
'10,10.0,10.0,10.0,17.82303,2.6323109999999996,27.947998046875007,0.9582519531250064
'01,10.0,10.0,20.0,14.406329999999999,2.4721999999999995,34.124755859375014,15.191650390625007
'10,10.0,10.0,20.0,17.823069999999998,2.632091,28.887939453125007,0.018310546875006318
'01,10.0,10.0,40.0,14.406339999999998,2.4722389999999996,37.61596679687501,12.371826171875007
'10,10.0,10.0,40.0,17.82303,2.6323109999999996,32.513427734375014,-1.9958496093749938
'01,10.0,10.0,100.0,14.40626,2.4722109999999997,57.75756835937502,11.834716796875007
'10,10.0,10.0,100.0,17.82293,2.632312,51.177978515625,8.477783203125009
