transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'10,10.0,40.0,150.0,27.12434,2.678554,42.181396484375014,15.32592773437501
'01,10.0,100.0,10.0,38.44821,2.5430409999999997,2.166748046875007,37.07885742187501
'10,10.0,100.0,10.0,42.10386,2.679216,-7.769775390624995,21.771240234375007
'01,10.0,100.0,20.0,38.44821,2.5430409999999997,2.9724121093750067,36.13891601562501
'10,10.0,100.0,20.0,42.10386,2.679216,-6.829833984374994,20.83129882812501
'01,10.0,100.0,40.0,38.44821,2.5430409999999997,6.597900390625008,33.184814453125014
'10,10.0,100.0,40.0,42.10386,2.679216,-3.2043457031249942,17.20581054687501
'01,10.0,100.0,100.0,38.44813,2.543014,23.651123046875007,32.513427734375014
'10,10.0,100.0,100.0,42.103719999999996,2.6792109999999996,7.269287109375007,13.714599609375007
'01,10.0,100.0,150.0,38.44742,2.542293,36.13891601562501,38.555908203125014
'10,10.0,100.0,150.0,42.103739999999995,2.67961,13.177490234375007,17.340087890625007
'01,10.0,150.0,10.0,49.610409999999995,2.545127,-10.589599609374993,48.35815429687501
'10,10.0,150.0,10.0,53.350319999999996,2.680068,-21.734619140625,32.91625976562501
'01,10.0,150.0,20.0,49.610409999999995,2.545127,-9.649658203124995,47.418212890625
'10,10.0,150.0,20.0,53.350319999999996,2.680068,-20.794677734374996,32.110595703125014
'01,10.0,150.0,40.0,49.610409999999995,2.545127,-6.024169921874994,44.46411132812501
'10,10.0,150.0,40.0,53.350319999999996,2.680068,-17.303466796874993,28.485107421875007
'01,10.0,150.0,100.0,49.61033,2.545096,10.089111328125009,43.792724609375014
'10,10.0,150.0,100.0,53.35019,2.680064,-8.709716796874995,21.502685546875007
'01,10.0,150.0,150.0,49.60959999999999,2.544823,21.771240234375007,49.70092773437501
'10,10.0,150.0,150.0,53.35012999999999,2.680063,-4.815673828124995,23.24829101562501
'01,20.0,10.0,10.0,15.22351,3.216903,34.796142578125014,15.460205078125007
'10,20.0,10.0,10.0,18.731959999999997,3.384911,28.216552734375007,-0.1159667968749937
'01,20.0,10.0,20.0,15.22349,3.2171629999999998,35.736083984375014,14.520263671875007
'10,20.0,10.0,20.0,18.73201,3.385115,29.156494140625007,-1.0559082031249938
'01,20.0,10.0,40.0,15.22351,3.216903,39.36157226562501,11.566162109375007
'10,20.0,10.0,40.0,18.731959999999997,3.384911,32.78198242187501,-1.3244628906249936
'01,20.0,10.0,100.0,15.22342,3.216871,60.040283203125,14.788818359375009
