Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
NOR2_1.P1,PMOS,SOT523,39.0,-39.0,180.0,top
NOR2_1.P2,PMOS,SOT523,41.0,-39.0,180.0,top
NOR2_2.N1,NMOS,SOT523,43.0,-41.0,0.0,top
NOR2_2.N2,NMOS,SOT523,45.0,-41.0,0.0,top
NOR2_2.P1,PMOS,SOT523,43.0,-39.0,180.0,top
NOR2_2.P2,PMOS,SOT523,45.0,-39.0,180.0,top
NOR2_3.N1,NMOS,SOT523,48.0,-41.0,0.0,top
NOR2_3.N2,NMOS,SOT523,50.0,-41.0,0.0,top
NOR2_3.P1,PMOS,SOT523,48.0,-39.0,180.0,top
NOR2_3.P2,PMOS,SOT523,50.0,-39.0,180.0,top
NOR2_4.N1,NMOS,SOT523,52.0,-41.0,0.0,top
NOR2_4.N2,NMOS,SOT523,54.0,-41.0,0.0,top
NOR2_4.P1,PMOS,SOT523,52.0,-39.0,180.0,top
NOR2_4.P2,PMOS,SOT523,54.0,-39.0,180.0,top
NOR3_1.N1,NMOS,SOT523,70.0,-41.0,0.0,top
NOR3_1.N2,NMOS,SOT523,72.0,-41.0,0.0,top
NOR3_1.N3,NMOS,SOT523,74.0,-41.0,0.0,top
NOR3_1.P1,PMOS,SOT523,70.0,-39.0,180.0,top
NOR3_1.P2,PMOS,SOT523,72.0,-39.0,180.0,top
NOR3_1.P3,PMOS,SOT523,74.0,-39.0,180.0,top
NOR3_2.N1,NMOS,SOT523,76.0,-41.0,0.0,top
NOR3_2.N2,NMOS,SOT523,78.0,-41.0,0.0,top
NOR3_2.N3,NMOS,SOT523,80.0,-41.0,0.0,top
NOR3_2.P1,PMOS,SOT523,76.0,-39.0,180.0,top
NOR3_2.P2,PMOS,SOT523,78.0,-39.0,180.0,top
NOR3_2.P3,PMOS,SOT523,80.0,-39.0,180.0,top
NOR4_1.N1,NMOS,SOT523,81.0,-57.0,180.0,top
NOR4_1.N2,NMOS,SOT523,83.0,-57.0,180.0,top
NOR4_1.N3,NMOS,SOT523,85.0,-57.0,180.0,top
NOR4_1.N4,NMOS,SOT523,87.0,-57.0,180.0,top
NOR4_1.P1,PMOS,SOT523,81.0,-59.0,0.0,top
NOR4_1.P2,PMOS,SOT523,83.0166,-59.0,0.0,top
NOR4_1.P3,PMOS,SOT523,85.0333,-59.0,0.0,top
NOR4_1.P4,PMOS,SOT523,87.05,-59.0,0.0,top
NOT_1.N1,NMOS,SOT523,12.0,-41.0,0.0,top
NOT_1.P1,PMOS,SOT523,12.0,-39.0,180.0,top
NOT_2.N1,NMOS,SOT523,14.0,-41.0,0.0,top
NOT_2.P1,PMOS,SOT523,14.0,-39.0,180.0,top
NOT_3.N1,NMOS,SOT523,16.0,-41.0,0.0,top
NOT_3.P1,PMOS,SOT523,16.0,-39.0,180.0,top
NOT_4.N1,NMOS,SOT523,18.0,-41.0,0.0,top
NOT_4.P1,PMOS,SOT523,18.0,-39.0,180.0,top
OAI211_1.N1,NMOS,SOT523,72.0,-57.0,180.0,top
OAI211_1.N2,NMOS,SOT523,74.0,-57.0,180.0,top
OAI211_1.N3,NMOS,SOT523,76.0,-57.0,180.0,top
OAI211_1.N4,NMOS,SOT523,78.0,-57.0,180.0,top
OAI211_1.P1,PMOS,SOT523,72.0,-59.0,0.0,top
OAI211_1.P2,PMOS,SOT523,74.0,-59.0,0.0,top
OAI211_1.P3,PMOS,SOT523,76.0,-59.0,0.0,top
OAI211_1.P4,PMOS,SOT523,78.0,-59.0,0.0,top
OAI21_1.N1,NMOS,SOT523,38.0,-57.0,180.0,top
OAI21_1.N2,NMOS,SOT523,40.0,-57.0,180.0,top
OAI21_1.N3,NMOS,SOT523,42.0,-57.0,180.0,top
OAI21_1.P1,PMOS,SOT523,38.0,-59.0,0.0,top
OAI21_1.P2,PMOS,SOT523,40.0,-59.0,0.0,top
OAI21_1.P3,PMOS,SOT523,42.0,-59.0,0.0,top
OAI22_1.N1,NMOS,SOT523,54.0,-57.0,180.0,top
OAI22_1.N2,NMOS,SOT523,56.0,-57.0,180.0,top
OAI22_1.N3,NMOS,SOT523,58.0,-57.0,180.0,top
OAI22_1.N4,NMOS,SOT523,60.0,-57.0,180.0,top
OAI22_1.P1,PMOS,SOT523,54.0,-59.0,0.0,top
OAI22_1.P2,PMOS,SOT523,56.0,-59.0,0.0,top
OAI22_1.P3,PMOS,SOT523,58.0,-59.0,0.0,top
OAI22_1.P4,PMOS,SOT523,60.0,-59.0,0.0,top
TINV_1.N1,NMOS,SOT523,12.0,-57.0,180.0,top
TINV_1.N2,NMOS,SOT523,14.0,-57.0,180.0,top
TINV_1.P1,PMOS,SOT523,12.0,-59.0,0.0,top
TINV_1.P2,PMOS,SOT523,14.0,-59.0,0.0,top
TINV_2.N1,NMOS,SOT523,16.0,-57.0,180.0,top
TINV_2.N2,NMOS,SOT523,18.0,-57.0,180.0,top
TINV_2.P1,PMOS,SOT523,16.0,-59.0,0.0,top
TINV_2.P2,PMOS,SOT523,18.0,-59.0,0.0,top
TINV_3.N1,NMOS,SOT523,21.0,-57.0,180.0,top
TINV_3.N2,NMOS,SOT523,23.0,-57.0,180.0,top
TINV_3.P1,PMOS,SOT523,21.0,-59.0,0.0,top
TINV_3.P2,PMOS,SOT523,23.0,-59.0,0.0,top
TINV_4.N1,NMOS,SOT523,25.0,-57.0,180.0,top
TINV_4.N2,NMOS,SOT523,27.0,-57.0,180.0,top
TINV_4.P1,PMOS,SOT523,25.0,-59.0,0.0,top
TINV_4.P2,PMOS,SOT523,27.0,-59.0,0.0,top
genblk1[10].N,NMOS,SOT523,53.81,-26.62,0.0,top
genblk1[10].P,PMOS,SOT523,53.81,-11.0,180.0,top
genblk1[11].N,NMOS,SOT523,56.35,-26.62,0.0,top
genblk1[11].P,PMOS,SOT523,56.35,-11.0,180.0,top
genblk1[12].N,NMOS,SOT523,58.89,-26.62,0.0,top
genblk1[12].P,PMOS,SOT523,58.89,-11.0,180.0,top
genblk1[13].N,NMOS,SOT523,61.43,-26.62,0.0,top
genblk1[13].P,PMOS,SOT523,61.43,-11.0,180.0,top
genblk1[14].N,NMOS,SOT523,63.97,-26.62,0.0,top
genblk1[14].P,PMOS,SOT523,63.97,-11.0,180.0,top
genblk1[15].N,NMOS,SOT523,66.51,-26.62,0.0,top
genblk1[15].P,PMOS,SOT523,66.51,-11.0,180.0,top
genblk1[16].N,NMOS,SOT523,69.05,-26.62,0.0,top
genblk1[16].P,PMOS,SOT523,69.05,-11.0,180.0,top
genblk1[1].N,NMOS,SOT523,30.95,-26.62,0.0,top
genblk1[1].P,PMOS,SOT523,30.95,-11.0,180.0,top
genblk1[2].N,NMOS,SOT523,33.49,-26.62,0.0,top
genblk1[2].P,PMOS,SOT523,33.49,-11.0,180.0,top
genblk1[3].N,NMOS,SOT523,36.03,-26.62,0.0,top
genblk1[3].P,PMOS,SOT523,36.03,-11.0,180.0,top
genblk1[4].N,NMOS,SOT523,38.57,-26.62,0.0,top
genblk1[4].P,PMOS,SOT523,38.57,-11.0,180.0,top
genblk1[5].N,NMOS,SOT523,41.11,-26.62,0.0,top
genblk1[5].P,PMOS,SOT523,41.11,-11.0,180.0,top
genblk1[6].N,NMOS,SOT523,43.65,-26.62,0.0,top
genblk1[6].P,PMOS,SOT523,43.65,-11.0,180.0,top
genblk1[7].N,NMOS,SOT523,46.19,-26.62,0.0,top
genblk1[7].P,PMOS,SOT523,46.19,-11.0,180.0,top
genblk1[8].N,NMOS,SOT523,48.73,-26.62,0.0,top
genblk1[8].P,PMOS,SOT523,48.73,-11.0,180.0,top
genblk1[9].N,NMOS,SOT523,51.27,-26.62,0.0,top
genblk1[9].P,PMOS,SOT523,51.27,-11.0,180.0,top
genblk2[0].genblk1[0].D.DECAP.C,0.1u,C_0402_1005Metric,21.55,-76.0,90.0,top
genblk2[0].genblk1[0].D.L,,LED_0402_1005Metric,20.65,-75.0,90.0,top
genblk2[0].genblk1[0].D.R,330,R_0402_1005Metric,20.65,-77.0,-90.0,top
genblk2[0].genblk1[0].L.NOT1.N1,NMOS,SOT523,11.0,-77.0,0.0,top
genblk2[0].genblk1[0].L.NOT1.N2,NMOS,SOT523,13.0,-77.0,0.0,top
genblk2[0].genblk1[0].L.NOT1.P1,PMOS,SOT523,11.0,-75.0,180.0,top
genblk2[0].genblk1[0].L.NOT1.P2,PMOS,SOT523,13.0,-75.0,180.0,top
genblk2[0].genblk1[0].L.NOT2.N1,NMOS,SOT523,19.0,-77.0,0.0,top
genblk2[0].genblk1[0].L.NOT2.P1,PMOS,SOT523,19.0,-75.0,180.0,top
genblk2[0].genblk1[0].L.NOT3.N1,NMOS,SOT523,17.0,-77.0,0.0,top
genblk2[0].genblk1[0].L.NOT3.N2,NMOS,SOT523,15.0,-77.0,0.0,top
genblk2[0].genblk1[0].L.NOT3.P1,PMOS,SOT523,17.0,-75.0,180.0,top
genblk2[0].genblk1[0].L.NOT3.P2,PMOS,SOT523,15.0,-75.0,180.0,top
genblk2[0].genblk1[0].R1.N1,NMOS,SOT523,23.0,-77.0,0.0,top
genblk2[0].genblk1[0].R1.N2,NMOS,SOT523,25.0,-77.0,0.0,top
genblk2[0].genblk1[0].R1.P1,PMOS,SOT523,23.0,-75.0,180.0,top
genblk2[0].genblk1[0].R1.P2,PMOS,SOT523,25.0,-75.0,180.0,top
genblk2[0].genblk1[0].R2.N1,NMOS,SOT523,27.0,-77.0,0.0,top
genblk2[0].genblk1[0].R2.N2,NMOS,SOT523,29.0,-77.0,0.0,top
genblk2[0].genblk1[0].R2.P1,PMOS,SOT523,27.0,-75.0,180.0,top
genblk2[0].genblk1[0].R2.P2,PMOS,SOT523,29.0,-75.0,180.0,top
genblk2[0].genblk1[1].D.DECAP.C,0.1u,C_0402_1005Metric,21.55,-80.0,90.0,top
genblk2[0].genblk1[1].D.L,,LED_0402_1005Metric,20.65,-79.0,90.0,top
genblk2[0].genblk1[1].D.R,330,R_0402_1005Metric,20.65,-81.0,-90.0,top
genblk2[0].genblk1[1].L.NOT1.N1,NMOS,SOT523,11.0,-79.0,180.0,top
genblk2[0].genblk1[1].L.NOT1.N2,NMOS,SOT523,13.0,-79.0,180.0,top
genblk2[0].genblk1[1].L.NOT1.P1,PMOS,SOT523,11.0,-81.0,0.0,top
genblk2[0].genblk1[1].L.NOT1.P2,PMOS,SOT523,13.0,-81.0,0.0,top
genblk2[0].genblk1[1].L.NOT2.N1,NMOS,SOT523,19.0,-79.0,180.0,top
genblk2[0].genblk1[1].L.NOT2.P1,PMOS,SOT523,19.0,-81.0,0.0,top
genblk2[0].genblk1[1].L.NOT3.N1,NMOS,SOT523,17.0,-79.0,180.0,top
genblk2[0].genblk1[1].L.NOT3.N2,NMOS,SOT523,15.0,-79.0,180.0,top
genblk2[0].genblk1[1].L.NOT3.P1,PMOS,SOT523,17.0,-81.0,0.0,top
genblk2[0].genblk1[1].L.NOT3.P2,PMOS,SOT523,15.0,-81.0,0.0,top
genblk2[0].genblk1[1].R1.N1,NMOS,SOT523,23.0,-79.0,180.0,top
genblk2[0].genblk1[1].R1.N2,NMOS,SOT523,25.0,-79.0,180.0,top
genblk2[0].genblk1[1].R1.P1,PMOS,SOT523,23.0,-81.0,0.0,top
genblk2[0].genblk1[1].R1.P2,PMOS,SOT523,25.0,-81.0,0.0,top
genblk2[0].genblk1[1].R2.N1,NMOS,SOT523,27.0,-79.0,180.0,top
genblk2[0].genblk1[1].R2.N2,NMOS,SOT523,29.0,-79.0,180.0,top
genblk2[0].genblk1[1].R2.P1,PMOS,SOT523,27.0,-81.0,0.0,top
genblk2[0].genblk1[1].R2.P2,PMOS,SOT523,29.0,-81.0,0.0,top
genblk2[0].genblk1[2].D.DECAP.C,0.1u,C_0402_1005Metric,21.55,-84.0,90.0,top
genblk2[0].genblk1[2].D.L,,LED_0402_1005Metric,20.65,-83.0,90.0,top
genblk2[0].genblk1[2].D.R,330,R_0402_1005Metric,20.65,-85.0,-90.0,top
